"cowcode","location","asciiname","longitude","latitude","event_date","side","numreports","max_scope","max_partviolence","max_secengagement","mean_avg_numparticipants","any_accessible","blocked","ooni_ratio","ooni","ioda_number","ioda","physical","year","imf_democ_exp","imf_autoc_exp","imf_democ_imp","imf_autoc_imp","imf_democ_trade","imf_autoc_trade","All_NGO","Global_NGO","National_ngo","gdp","tourism","military","oil","oda","remittances","filter_cap","shut_cap"
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2017-10-05,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2017-10-17,1,1,0,1,2,2000,NA,NA,NA,NA,0,0,1,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2017-11-18,1,1,0,1,NA,200,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-03-28,1,1,0,NA,NA,200,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-07-06,1,3,0,3,2,NA,NA,NA,NA,NA,0,0,1,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-07-07,1,2,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-07-08,1,4,0,3,2,50,NA,NA,NA,NA,0,0,1,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-07-09,1,3,0,3,2,50,NA,NA,NA,NA,0,0,1,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-07-14,1,2,0,NA,NA,200,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2018-09-23,1,1,0,NA,NA,200,NA,NA,NA,NA,0,0,NA,2018,NA,NA,NA,NA,-10296797.5789474,-18060656,4,1,2,16403864617.8458,620000000,0.0880935388760229,0,6.18148253769973,16.6739852493704,1,1
